ax,ay,az,gx,gy,gz
-7.6,6.93,8.71,-3.01,0.91,0.39
-10.24,5.83,8.43,-4.37,1.6,0.96
-11.01,1.6,5.93,-4.37,2.22,0.67
-11.89,1.13,5.32,-4.37,2.29,0.72
-12.28,4.03,6.44,-4.37,2.31,0.85
-16.64,5.52,15.15,-4.37,2.34,1.24
-13.37,5.43,5.68,-4.37,2.85,1.37
-12.22,3.47,0.48,-4.37,2.85,2.08
-12.07,1.66,-3.23,-4.37,2.57,2.51
-10.79,0.4,-5.63,-4.37,1.34,3.53
-8.29,2.74,-4.05,-4.37,0.66,4.15
-5.68,1.61,-1.85,-4.37,-0.07,4.02
-2.55,0.88,1.82,-4.37,-0.25,3.77
1.64,3.12,3.49,-4.37,-0.39,2.63
2.37,1.86,5.04,-4.37,-1.87,1.81
4.47,4.01,6.99,-4.37,-4.07,2.43
10.09,3.73,9.49,-4.0,-4.37,2.57
13.57,2.79,13.43,-4.37,-4.37,2.57
11.43,3.54,16.8,-4.37,-4.37,2.9
