ax,ay,az,gx,gy,gz
-9.33,3.16,1.16,0.27,0.94,-0.03
-9.66,2.83,0.03,0.69,0.43,-0.01
-10.24,3.52,0.45,0.7,0.3,0.01
-10.7,3.71,-0.0,0.43,0.48,-0.03
-11.51,3.44,-0.69,0.08,0.53,-0.09
-11.48,3.15,-1.25,-0.22,0.32,-0.1
-10.58,2.95,-1.27,-0.38,0.07,-0.07
-10.15,2.88,-1.3,-0.38,-0.16,0.01
-9.77,3.06,-1.24,-0.2,-0.48,0.08
-8.34,3.46,-0.56,-0.02,-0.59,0.05
-7.39,3.59,-0.13,-0.02,-0.57,0.04
-6.94,3.59,0.42,-0.1,-0.57,0.07
-7.06,3.55,0.88,-0.19,-0.55,0.08
-7.44,3.52,1.43,-0.37,-0.43,0.1
-7.74,3.25,1.72,-0.39,-0.24,0.07
-8.89,3.09,1.58,-0.34,-0.14,0.1
-9.7,3.07,1.56,-0.22,0.03,0.07
-10.69,3.16,1.3,-0.17,0.15,0.07
-11.16,3.14,0.9,-0.1,0.11,0.03
-10.73,2.86,0.62,0.01,0.01,0.04
