ax,ay,az,gx,gy,gz
-3.03,9.51,0.81,0.85,3.66,2.45
-6.07,14.08,-0.61,1.4,2.37,2.14
-4.79,15.94,0.7,1.01,1.03,1.97
-0.39,15.77,2.23,0.1,1.55,1.82
-4.85,12.74,0.01,0.02,2.08,1.3
-6.26,10.07,0.18,0.48,1.57,0.86
-6.33,9.97,1.02,0.28,1.4,0.72
-8.27,9.53,1.04,-0.71,1.19,0.36
-10.16,8.4,0.79,-1.64,1.39,0.26
-10.87,8.1,-0.97,-1.2,1.14,0.17
-11.02,10.92,-1.07,-0.87,0.44,-0.08
-11.01,13.88,-1.74,-1.41,-0.12,-0.51
-10.9,15.36,-3.93,-1.84,-0.45,-1.3
-11.68,16.15,-5.94,-1.19,-1.57,-2.12
-10.32,19.22,-6.61,-0.17,-3.08,-2.78
-8.31,19.61,-6.53,-0.02,-3.62,-3.61
-8.26,19.61,-10.02,-0.89,-3.52,-4.23
-7.19,19.61,-13.33,-0.7,-4.18,-4.37
-2.39,19.61,-13.95,0.23,-4.37,-4.37
1.79,19.61,-14.8,0.55,-4.37,-4.37
