ax,ay,az,gx,gy,gz
-1.26,-5.09,-0.94,-0.6,0.13,-0.94
-1.07,-4.21,0.91,-0.76,-0.09,-0.28
0.28,-4.46,2.73,-0.97,0.2,0.2
-1.23,-5.27,3.23,-0.72,0.49,0.9
-1.25,-4.21,3.93,-0.39,0.31,1.83
-0.09,-2.28,5.1,-0.38,0.52,2.41
-0.6,-1.82,5.46,-0.54,0.79,2.86
-0.03,-1.89,5.27,-0.73,0.97,3.65
1.17,-1.44,4.72,-0.94,1.26,4.29
1.87,-1.66,3.85,-1.12,1.53,4.37
2.42,-1.98,3.07,-1.14,1.68,4.37
4.08,-2.16,2.54,-0.97,1.83,4.37
6.9,-1.47,1.69,-0.79,2.05,4.37
9.84,-0.34,0.51,-0.73,2.44,4.37
12.7,2.36,-3.41,-0.84,2.66,4.37
12.28,8.88,-8.66,-1.1,1.92,4.37
8.54,16.07,-13.74,-0.42,0.66,4.37
5.23,19.61,-19.17,2.43,-0.03,4.37
3.43,19.61,-19.61,4.0,-0.28,4.37
