ax,ay,az,gx,gy,gz
-11.9,5.81,-1.4,0.73,-1.1,-1.54
-11.75,5.72,-1.12,1.14,-1.13,-1.59
-11.14,5.31,-0.09,1.81,-1.01,-1.62
-11.25,4.6,0.58,2.73,-0.78,-1.67
-11.76,4.87,0.72,3.45,-0.63,-1.71
-12.42,6.54,0.46,3.77,-0.48,-1.74
-12.88,7.46,-0.38,3.47,-0.54,-1.72
-12.68,6.8,-1.2,3.2,-0.89,-1.66
-11.43,5.35,-1.92,3.22,-1.74,-1.36
-10.16,4.4,-1.92,3.5,-2.36,-1.1
-8.99,4.42,-1.78,3.82,-2.74,-1.03
-5.88,5.36,-1.53,4.0,-2.91,-1.25
-4.4,6.41,-1.06,3.66,-2.74,-1.5
-3.08,6.03,-0.53,2.75,-2.42,-1.68
-2.05,3.9,0.04,1.34,-2.09,-1.5
-1.76,2.26,0.29,0.71,-2.02,-1.18
-1.55,0.92,0.65,0.45,-1.97,-0.9
-1.19,-0.03,1.59,0.44,-1.87,-0.52
-0.91,-0.11,2.48,0.47,-1.7,-0.31
-0.9,0.14,3.21,0.41,-1.5,-0.19
