ax,ay,az,gx,gy,gz
3.58,5.13,-4.58,0.27,-0.54,0.18
3.89,3.42,-8.83,0.89,-0.58,0.1
5.35,2.52,-8.47,1.28,0.8,-0.19
3.92,6.35,-6.85,0.82,1.2,-1.09
2.85,6.19,-7.05,0.1,0.37,-0.71
5.48,6.3,-9.13,0.0,0.0,-0.36
6.61,6.67,-9.98,0.44,0.05,-0.14
8.18,7.8,-11.28,0.79,0.39,-0.14
8.38,8.84,-12.38,0.77,0.81,-0.01
8.51,10.0,-13.46,0.53,1.24,0.2
9.46,10.89,-14.18,0.01,1.97,0.1
9.04,11.08,-14.54,-0.4,2.76,0.18
8.29,10.88,-14.39,-0.57,3.33,0.53
8.26,10.14,-13.49,-0.53,3.84,0.93
6.76,9.09,-12.6,-0.43,4.32,1.16
4.43,7.24,-11.0,-0.48,4.37,1.26
2.7,6.18,-8.12,-0.8,4.37,1.29
1.21,4.84,-5.46,-1.2,4.37,1.23
0.07,3.18,-2.62,-1.43,4.37,1.28
-1.73,1.45,0.19,-1.44,3.97,1.23
