ax,ay,az,gx,gy,gz
9.0,-0.03,4.74,0.14,-1.11,0.36
7.72,0.99,4.7,1.02,-0.51,-0.29
8.4,5.24,3.13,0.73,-0.48,-0.59
7.1,5.15,2.92,-0.19,-0.81,-0.57
8.57,5.15,2.62,-0.91,-1.02,-0.3
9.39,4.25,3.42,-1.51,-1.05,-0.37
9.62,4.98,4.78,-2.36,-1.49,-0.91
10.89,5.19,5.26,-3.57,-2.0,-1.72
11.81,5.31,5.5,-4.37,-2.33,-2.57
13.58,8.04,6.42,-4.37,-2.33,-3.23
13.54,9.06,6.39,-4.37,-2.54,-2.53
16.39,5.44,6.93,-4.37,-2.22,-2.87
17.76,-1.68,5.08,-4.37,-2.2,-3.32
18.41,-6.01,3.83,-4.37,-2.29,-4.21
19.61,-5.19,2.65,-4.37,-2.21,-4.37
17.91,-2.28,2.01,-4.37,-1.47,-4.37
14.66,0.7,2.28,-4.24,-0.48,-4.37
9.88,3.06,1.46,-4.13,-0.52,-4.37
8.28,5.96,1.54,-4.37,-0.79,-4.37
