ax,ay,az,gx,gy,gz
9.47,1.84,-0.19,0.22,-0.16,-0.02
8.1,1.99,-0.09,0.03,-0.05,0.01
8.85,1.8,0.24,-0.18,-0.18,0.03
9.7,1.75,0.68,-0.19,-0.16,0.07
9.71,1.91,1.16,-0.23,-0.25,0.04
10.04,2.11,1.04,-0.24,-0.4,0.05
10.75,2.3,0.74,-0.16,-0.39,0.05
10.7,2.43,0.53,-0.18,-0.32,0.02
10.54,2.17,0.12,-0.3,-0.24,-0.04
10.19,2.05,-0.0,-0.43,-0.11,-0.11
10.04,1.87,0.13,-0.57,0.01,-0.17
9.99,1.72,0.33,-0.57,0.13,-0.2
9.76,1.77,0.67,-0.55,0.22,-0.22
9.54,1.8,0.96,-0.58,0.2,-0.2
9.46,1.9,1.08,-0.68,0.17,-0.18
9.62,1.78,1.17,-0.73,0.16,-0.15
9.48,1.74,1.33,-0.71,0.15,-0.13
9.46,1.51,1.39,-0.61,0.08,-0.1
9.59,1.32,1.3,-0.44,0.0,-0.07
9.59,1.26,1.22,-0.24,-0.02,-0.07
