ax,ay,az,gx,gy,gz
11.22,-1.37,9.57,-3.42,1.59,-1.43
16.33,-0.8,16.77,-4.37,1.5,-2.52
15.13,-5.08,12.33,-4.37,0.62,-3.18
19.61,-5.12,1.44,-2.35,1.27,-4.37
19.61,12.82,-11.94,-1.08,4.27,-4.37
19.61,19.61,-19.61,-4.37,4.37,-4.28
19.61,19.61,-19.61,-4.37,4.37,-3.85
19.61,19.61,-19.61,-4.37,4.37,-1.48
14.64,19.61,-13.32,-2.48,4.37,2.23
-2.2,19.61,-19.61,-4.37,4.37,4.02
-8.78,19.61,-19.61,-4.37,4.37,4.37
-19.61,19.61,-19.61,-4.37,4.37,4.37
-19.61,1.76,-19.61,-4.37,4.37,4.37
-19.61,-13.19,-13.93,-4.37,4.37,4.37
-19.61,-18.16,-4.19,-3.65,4.18,4.24
-19.61,-18.08,5.59,-3.23,1.74,2.24
-19.61,-19.61,8.39,-1.34,-2.43,1.66
-19.61,-17.25,3.89,1.52,-4.37,1.82
-19.61,-15.24,1.74,2.25,-4.37,1.17
