ax,ay,az,gx,gy,gz
-5.94,6.3,11.83,-0.82,0.12,0.12
-2.41,-2.43,13.28,-3.02,-1.19,-1.54
-8.16,-8.5,15.24,-3.52,-1.32,-2.83
-11.09,-11.61,10.62,-2.41,-1.26,-4.37
-15.35,-11.37,2.96,-0.87,-0.7,-4.37
-17.85,-5.16,-3.24,-0.29,0.17,-4.37
-18.21,-0.43,-9.86,-0.15,0.74,-4.37
-15.19,6.03,-15.89,0.77,1.59,-4.37
-13.76,17.13,-19.25,1.5,0.25,-4.37
-4.42,19.61,-19.61,1.81,-0.1,-4.37
6.93,19.61,-19.61,2.22,1.01,-4.37
10.86,19.61,-19.61,2.44,1.56,-4.37
16.75,19.61,-19.61,3.53,1.54,-3.9
19.61,19.61,-19.61,3.42,2.54,-1.84
19.61,19.61,-19.61,0.71,4.37,0.41
19.61,19.61,-19.61,-0.16,4.37,1.73
7.03,19.61,-19.61,0.79,4.37,4.37
-6.84,19.61,-19.61,0.33,4.37,4.37
-19.61,19.61,-19.61,-1.22,4.37,4.37
