time,ax,ay,az,gx,gy,gz,label
1770088729.903981,-8.15,4.52,2.56,-0.77,0.46,0.28,7
1770088729.9067578,-8.25,4.33,2.49,-0.77,0.44,0.26,7
1770088729.90946,-8.32,4.11,2.43,-0.76,0.42,0.23,7
1770088729.912298,-8.39,3.91,2.34,-0.74,0.4,0.19,7
1770088729.917752,-8.43,3.73,2.31,-0.72,0.39,0.17,7
1770088729.920543,-8.4,3.56,2.31,-0.67,0.37,0.14,7
1770088729.923319,-8.38,3.41,2.26,-0.62,0.36,0.11,7
1770088729.926095,-8.39,3.34,2.18,-0.56,0.33,0.1,7
1770088729.931555,-8.38,3.19,2.18,-0.52,0.31,0.09,7
1770088729.934328,-8.41,3.15,2.34,-0.48,0.28,0.1,7
1770088729.93711,-8.42,3.1,2.39,-0.45,0.25,0.11,7
1770088729.939892,-8.46,3.04,2.56,-0.44,0.23,0.14,7
1770088729.945222,-8.36,2.93,2.57,-0.42,0.22,0.17,7
1770088729.948689,-8.32,2.87,2.56,-0.4,0.2,0.2,7
1770088729.95411,-8.43,2.97,2.86,-0.34,0.16,0.28,7
1770088729.956924,-8.49,3.15,2.91,-0.35,0.14,0.29,7
1770088729.959646,-8.5,3.4,2.93,-0.37,0.12,0.29,7
1770088729.962306,-8.56,3.6,2.93,-0.38,0.11,0.28,7
1770088729.967833,-8.55,3.79,2.92,-0.39,0.11,0.25,7
1770088729.970682,-8.54,4.05,2.85,-0.39,0.1,0.22,7
1770088729.9734452,-8.61,4.36,3.0,-0.4,0.1,0.18,7
1770088729.9761522,-8.57,4.67,2.99,-0.4,0.11,0.12,7
1770088729.981698,-8.53,4.98,3.03,-0.43,0.1,0.08,7
1770088729.984489,-8.5,5.1,3.06,-0.44,0.1,0.03,7
1770088729.987226,-8.54,5.27,3.2,-0.47,0.11,-0.02,7
1770088729.992687,-8.49,5.44,3.21,-0.51,0.12,-0.05,7
1770088729.995389,-8.46,5.52,3.37,-0.55,0.12,-0.07,7
1770088730.000088,-8.37,5.58,3.53,-0.61,0.13,-0.07,7
1770088730.0028648,-7.93,5.12,3.59,-0.83,0.22,-0.02,7
1770088730.008319,-7.87,5.1,3.57,-0.85,0.24,-0.01,7
1770088730.011044,-7.86,5.0,3.55,-0.86,0.26,-0.02,7
1770088730.013855,-7.88,4.94,3.66,-0.88,0.29,-0.04,7
1770088730.0193138,-7.92,4.87,3.65,-0.9,0.31,-0.05,7
1770088730.022165,-7.93,4.85,3.6,-0.91,0.32,-0.07,7
1770088730.024907,-7.94,4.83,3.51,-0.93,0.33,-0.08,7
1770088730.027675,-8.01,4.82,3.57,-0.94,0.33,-0.1,7
1770088730.0331671,-7.99,4.73,3.51,-0.94,0.33,-0.11,7
1770088730.0359108,-8.02,4.65,3.51,-0.94,0.32,-0.13,7
1770088730.038761,-7.95,4.5,3.5,-0.93,0.32,-0.14,7
1770088730.041535,-7.89,4.4,3.52,-0.92,0.31,-0.14,7
1770088730.048212,-7.84,4.21,3.55,-0.9,0.3,-0.15,7
1770088730.050982,-7.69,3.96,4.11,-0.72,0.3,-0.2,7
1770088730.053781,-7.67,3.9,4.27,-0.68,0.33,-0.22,7
1770088730.059224,-7.67,3.82,4.38,-0.64,0.35,-0.24,7
1770088730.061929,-7.71,3.73,4.45,-0.6,0.38,-0.26,7
1770088730.06482,-7.72,3.7,4.58,-0.55,0.41,-0.28,7
1770088730.067602,-7.83,3.71,4.59,-0.51,0.44,-0.28,7
1770088730.073064,-7.92,3.76,4.73,-0.46,0.46,-0.29,7
1770088730.075823,-7.95,3.85,4.8,-0.42,0.48,-0.28,7
1770088730.078567,-8.03,3.94,4.88,-0.4,0.5,-0.26,7
1770088730.084096,-8.12,4.06,4.98,-0.39,0.51,-0.24,7
1770088730.086924,-8.2,4.17,5.25,-0.41,0.53,-0.2,7
1770088730.089687,-8.19,4.36,5.4,-0.44,0.54,-0.17,7
1770088730.0939991,-8.2,4.46,5.39,-0.49,0.56,-0.13,7
1770088730.099394,-8.12,5.04,5.69,-0.82,0.65,-0.0,7
1770088730.102205,-8.14,5.08,5.7,-0.91,0.67,-0.01,7
1770088730.105013,-8.18,5.15,5.65,-1.01,0.7,-0.01,7
1770088730.110413,-8.21,5.2,5.57,-1.1,0.71,-0.02,7
1770088730.1132312,-8.29,5.16,5.49,-1.19,0.73,-0.05,7
1770088730.116006,-8.42,5.18,5.41,-1.26,0.74,-0.07,7
1770088730.1188538,-8.44,5.17,5.32,-1.33,0.76,-0.09,7
1770088730.124238,-8.42,5.21,5.19,-1.39,0.76,-0.11,7
1770088730.12703,-8.31,5.15,5.09,-1.45,0.77,-0.12,7
1770088730.129854,-8.19,5.08,5.03,-1.5,0.78,-0.13,7
1770088730.135266,-8.07,4.93,4.88,-1.54,0.79,-0.13,7
1770088730.138137,-7.95,4.68,4.68,-1.57,0.8,-0.13,7
1770088730.1422431,-7.81,4.51,4.56,-1.58,0.81,-0.12,7
1770088730.145195,-7.73,4.07,3.95,-1.44,0.85,-0.12,7
1770088730.150516,-7.71,4.06,3.89,-1.39,0.86,-0.13,7
1770088730.153253,-7.7,4.11,3.78,-1.34,0.87,-0.13,7
1770088730.156241,-7.7,4.19,3.81,-1.29,0.87,-0.14,7
1770088730.158827,-7.69,4.17,3.72,-1.24,0.88,-0.14,7
1770088730.164295,-7.71,4.23,3.76,-1.19,0.88,-0.14,7
