time,ax,ay,az,gx,gy,gz,label
1770088964.509124,-9.83,0.18,-0.75,-0.03,0.0,-0.02,1
1770088964.511859,-9.79,0.16,-0.71,-0.03,-0.01,-0.02,1
1770088964.514636,-9.76,0.25,-0.74,-0.05,-0.01,-0.03,1
1770088964.5201018,-9.68,0.24,-0.57,-0.06,-0.01,-0.03,1
1770088964.522905,-9.72,0.21,-0.48,-0.08,-0.02,-0.03,1
1770088964.5282838,-9.68,0.15,-0.43,-0.11,-0.02,-0.03,1
1770088964.531204,-9.69,0.14,-0.45,-0.13,-0.03,-0.04,1
1770088964.5339031,-9.69,0.1,-0.49,-0.15,-0.03,-0.04,1
1770088964.53936,-9.72,0.06,-0.42,-0.16,-0.04,-0.04,1
1770088964.5421598,-9.71,0.06,-0.35,-0.17,-0.04,-0.04,1
1770088964.545756,-9.66,-0.05,-0.34,-0.19,-0.04,-0.05,1
1770088964.551295,-9.45,-0.23,-0.27,-0.21,-0.06,-0.04,1
1770088964.554115,-9.44,-0.29,-0.23,-0.22,-0.05,-0.04,1
1770088964.556874,-9.37,-0.24,-0.24,-0.22,-0.05,-0.03,1
1770088964.562347,-9.33,-0.22,-0.22,-0.21,-0.04,-0.03,1
1770088964.565197,-9.32,-0.32,-0.25,-0.21,-0.04,-0.03,1
1770088964.570699,-9.29,-0.37,-0.32,-0.21,-0.03,-0.02,1
1770088964.5734882,-9.28,-0.39,-0.21,-0.2,-0.02,-0.01,1
1770088964.576264,-9.27,-0.42,-0.19,-0.19,-0.01,0.0,1
1770088964.5816908,-9.22,-0.52,-0.28,-0.18,-0.0,0.02,1
1770088964.585715,-9.19,-0.58,-0.3,-0.15,0.01,0.03,1
1770088964.5885189,-9.1,-0.75,-0.45,0.03,0.1,0.08,1
1770088964.5912268,-9.12,-0.69,-0.47,0.07,0.12,0.1,1
1770088964.59668,-9.16,-0.68,-0.44,0.11,0.13,0.11,1
1770088964.599471,-9.21,-0.55,-0.5,0.14,0.14,0.12,1
1770088964.602241,-9.3,-0.46,-0.49,0.17,0.15,0.13,1
1770088964.6077209,-9.25,-0.4,-0.45,0.18,0.16,0.14,1
1770088964.61045,-9.31,-0.28,-0.53,0.2,0.17,0.14,1
1770088964.613232,-9.32,-0.12,-0.54,0.2,0.18,0.14,1
1770088964.616081,-9.35,-0.02,-0.54,0.2,0.18,0.15,1
1770088964.621557,-9.4,0.02,-0.56,0.19,0.18,0.15,1
1770088964.6243148,-9.45,0.11,-0.55,0.17,0.18,0.15,1
1770088964.627051,-9.53,0.11,-0.63,0.16,0.17,0.15,1
1770088964.6297688,-9.58,0.21,-0.74,0.14,0.16,0.15,1
1770088964.636852,-9.67,0.25,-0.74,0.13,0.15,0.15,1
1770088964.639549,-9.8,0.51,-0.91,0.08,0.1,0.13,1
1770088964.642366,-9.81,0.59,-0.92,0.07,0.08,0.12,1
1770088964.645078,-9.9,0.59,-0.9,0.04,0.07,0.12,1
1770088964.650681,-9.87,0.56,-1.0,0.03,0.05,0.11,1
1770088964.65342,-9.89,0.62,-0.93,0.01,0.04,0.1,1
1770088964.656248,-9.85,0.61,-1.03,-0.0,0.03,0.09,1
1770088964.659022,-9.85,0.59,-1.0,-0.02,0.02,0.08,1
1770088964.6644962,-9.86,0.55,-1.07,-0.03,0.01,0.07,1
1770088964.6672409,-9.95,0.52,-1.03,-0.04,0.01,0.06,1
1770088964.6700768,-9.91,0.51,-1.07,-0.05,-0.0,0.06,1
1770088964.675498,-9.95,0.4,-1.07,-0.05,-0.01,0.05,1
1770088964.678186,-10.01,0.36,-1.13,-0.04,-0.02,0.05,1
1770088964.6823,-10.05,0.33,-1.17,-0.04,-0.02,0.06,1
1770088964.687716,-10.15,0.3,-1.27,0.03,-0.03,0.04,1
1770088964.6905322,-10.17,0.29,-1.25,0.04,-0.02,0.04,1
1770088964.693363,-10.17,0.36,-1.29,0.05,-0.02,0.04,1
1770088964.698681,-10.2,0.36,-1.29,0.05,-0.02,0.05,1
1770088964.701563,-10.24,0.37,-1.24,0.06,-0.02,0.05,1
