time,ax,ay,az,gx,gy,gz,label
1769505579.547756,-7.26,2.34,-4.27,0.72,-0.26,0.97,8
1769505579.5505211,-7.39,2.4,-4.19,0.68,-0.32,0.99,8
1769505579.553227,-7.65,2.34,-4.01,0.65,-0.39,1.03,8
1769505579.5559192,-7.79,2.12,-3.88,0.61,-0.44,1.06,8
1769505579.561408,-7.64,1.97,-3.61,0.57,-0.5,1.1,8
1769505579.564277,-7.52,1.8,-3.39,0.55,-0.54,1.15,8
1769505579.566934,-7.32,1.53,-3.0,0.56,-0.56,1.18,8
1769505579.569794,-7.13,1.22,-2.67,0.59,-0.58,1.23,8
1769505579.572508,-7.06,1.02,-2.35,0.62,-0.59,1.26,8
1769505579.5753322,-7.06,0.88,-1.99,0.68,-0.58,1.3,8
1769505579.578023,-7.04,0.83,-1.72,0.74,-0.57,1.33,8
1769505579.580827,-7.13,0.95,-1.23,0.81,-0.56,1.36,8
1769505579.58354,-7.42,1.07,-0.61,0.88,-0.55,1.39,8
1769505579.586293,-7.68,1.36,-0.03,0.93,-0.54,1.41,8
1769505579.589032,-8.05,1.58,0.57,0.99,-0.56,1.44,8
1769505579.591747,-8.35,1.75,0.95,1.03,-0.58,1.46,8
1769505579.5973172,-8.85,1.99,1.53,1.07,-0.61,1.48,8
1769505579.6000798,-9.27,2.13,2.08,1.11,-0.64,1.52,8
1769505579.602819,-9.57,2.23,2.46,1.18,-0.7,1.57,8
1769505579.605661,-9.91,2.32,2.83,1.26,-0.77,1.59,8
1769505579.60835,-10.26,2.67,3.03,1.33,-0.87,1.58,8
1769505579.611171,-10.67,3.34,3.34,1.4,-0.98,1.58,8
1769505579.613931,-11.15,3.93,3.94,1.47,-1.1,1.59,8
1769505579.6167748,-11.6,4.27,4.72,1.5,-1.2,1.63,8
1769505579.619489,-11.81,4.34,5.41,1.53,-1.29,1.67,8
1769505579.622278,-11.97,4.64,6.38,1.55,-1.38,1.7,8
1769505579.6249652,-12.06,5.22,7.74,1.53,-1.4,1.74,8
1769505579.627678,-12.13,5.89,9.21,1.45,-1.43,1.79,8
1769505579.6332312,-12.36,6.74,10.46,1.29,-1.42,1.87,8
1769505579.6360462,-12.62,7.19,11.29,1.09,-1.45,1.97,8
1769505579.638735,-13.04,7.16,11.99,0.92,-1.5,2.07,8
1769505579.644184,-13.25,6.91,13.05,0.84,-1.51,2.12,8
1769505579.647085,-13.26,6.88,13.76,0.83,-1.47,2.14,8
1769505579.649833,-13.33,6.65,15.18,0.81,-1.37,2.16,8
1769505579.652548,-13.76,6.7,15.98,0.79,-1.28,2.18,8
1769505579.6552231,-14.15,6.99,17.03,0.79,-1.2,2.22,8
1769505579.6580071,-14.98,7.63,17.5,0.85,-1.24,2.28,8
1769505579.660827,-17.48,6.92,19.61,0.65,-1.58,2.18,8
1769505579.663694,-17.16,7.52,19.61,0.58,-1.47,2.16,8
1769505579.669019,-18.01,7.52,19.4,0.57,-1.42,2.14,8
1769505579.671765,-17.97,7.61,19.61,0.58,-1.46,2.13,8
1769505579.674676,-18.23,7.68,19.61,0.56,-1.44,2.14,8
1769505579.677338,-18.89,7.72,19.61,0.54,-1.42,2.12,8
1769505579.681845,-19.12,7.82,19.61,0.45,-1.44,2.06,8
1769505579.684614,-19.61,8.18,18.54,0.41,-1.48,2.13,8
1769505579.687359,-19.61,8.33,17.64,0.36,-1.5,2.12,8
1769505579.690155,-19.61,8.71,16.52,0.3,-1.54,2.09,8
1769505579.695555,-19.61,9.77,15.21,0.18,-1.63,2.02,8
1769505579.6983712,-19.61,10.96,14.15,0.02,-1.76,1.94,8
1769505579.701126,-19.61,12.01,12.94,-0.19,-1.93,1.85,8
