time,ax,ay,az,gx,gy,gz,label
1769507168.310668,-6.83,1.35,1.75,0.05,0.55,0.41,9
1769507168.3134148,-6.92,1.36,1.76,0.11,0.54,0.42,9
1769507168.3162491,-6.92,1.37,1.75,0.14,0.56,0.43,9
1769507168.319188,-6.84,1.5,1.62,0.2,0.55,0.43,9
1769507168.3219168,-6.77,1.54,1.64,0.24,0.54,0.44,9
1769507168.324724,-6.77,1.64,1.7,0.26,0.54,0.44,9
1769507168.327487,-6.72,1.63,1.7,0.28,0.53,0.44,9
1769507168.330436,-6.67,1.68,1.74,0.31,0.52,0.44,9
1769507168.3331609,-6.6,1.6,1.73,0.35,0.5,0.44,9
1769507168.336033,-6.57,1.45,1.76,0.38,0.46,0.45,9
1769507168.338818,-6.51,1.28,1.74,0.4,0.45,0.44,9
1769507168.3416069,-6.46,1.0,1.75,0.43,0.45,0.46,9
1769507168.3442628,-6.38,0.88,1.71,0.47,0.44,0.46,9
1769507168.347143,-6.25,0.72,1.82,0.52,0.4,0.48,9
1769507168.3526888,-6.16,0.56,1.77,0.55,0.36,0.49,9
1769507168.355496,-6.06,0.5,2.04,0.57,0.33,0.51,9
1769507168.358256,-5.88,0.37,2.02,0.57,0.31,0.54,9
1769507168.36109,-5.61,0.21,2.05,0.58,0.31,0.58,9
1769507168.363793,-5.25,0.02,2.15,0.58,0.29,0.62,9
1769507168.3666282,-4.89,-0.3,2.16,0.58,0.28,0.66,9
1769507168.369395,-4.59,-0.46,2.22,0.6,0.27,0.69,9
1769507168.372261,-4.33,-0.76,2.29,0.6,0.26,0.72,9
1769507168.3749042,-4.13,-1.12,2.25,0.63,0.29,0.73,9
1769507168.377697,-4.05,-1.33,1.65,0.7,0.35,0.75,9
1769507168.380403,-4.03,-1.88,1.81,0.79,0.3,0.73,9
1769507168.383162,-4.02,-2.49,2.4,0.84,0.25,0.71,9
1769507168.385959,-4.3,-3.16,1.78,0.91,0.2,0.63,9
1769507168.388772,-4.1,-3.82,1.66,0.98,0.18,0.52,9
1769507168.391477,-3.77,-3.76,1.53,1.09,0.13,0.39,9
1769507168.394246,-3.64,-4.07,1.26,1.23,0.15,0.27,9
1769507168.3969889,-3.56,-4.21,1.5,1.42,0.12,0.17,9
1769507168.3998132,-2.85,-4.41,1.95,1.61,0.04,0.14,9
1769507168.4053109,-3.99,-6.21,0.73,1.84,-0.32,0.63,9
1769507168.408013,0.25,-4.59,0.82,1.91,-0.02,0.76,9
1769507168.41083,-1.63,-4.13,0.99,2.09,-0.17,0.71,9
1769507168.413583,-2.98,-4.16,1.99,2.27,-0.22,0.58,9
1769507168.416281,-2.65,-4.76,1.99,2.44,-0.34,0.46,9
1769507168.419114,-2.0,-5.11,2.05,2.56,-0.45,0.39,9
1769507168.421942,-1.61,-4.79,2.03,2.65,-0.58,0.37,9
1769507168.4246578,-1.26,-4.74,2.14,2.76,-0.65,0.36,9
1769507168.430015,-0.86,-4.78,2.36,2.85,-0.69,0.37,9
1769507168.432889,-0.55,-5.0,2.27,2.91,-0.78,0.39,9
1769507168.43565,-0.47,-5.23,2.4,2.99,-0.86,0.46,9
1769507168.438367,-0.15,-5.55,2.86,3.07,-0.87,0.55,9
1769507168.441105,0.17,-5.65,2.95,3.13,-0.89,0.63,9
1769507168.44384,0.35,-5.53,2.84,3.2,-0.94,0.72,9
1769507168.4466538,0.4,-5.14,2.79,3.26,-0.93,0.84,9
1769507168.449365,0.68,-5.07,2.79,3.33,-0.9,0.95,9
1769507168.4522371,1.03,-5.06,2.67,3.42,-0.85,1.07,9
1769507168.454967,1.87,-4.71,3.6,3.42,-0.79,1.32,9
1769507168.4603038,1.69,-4.88,3.58,3.4,-0.79,1.45,9
1769507168.463121,1.56,-4.56,3.27,3.49,-0.85,1.48,9
1769507168.465912,2.68,-4.28,3.96,3.49,-0.72,1.74,9
1769507168.4686909,2.45,-4.09,3.45,3.5,-0.59,1.78,9
1769507168.471425,3.84,-3.31,3.52,3.53,-0.52,1.97,9
1769507168.474307,-0.71,-4.24,2.85,3.48,-0.27,1.98,9
1769507168.476974,4.24,-1.34,4.56,3.42,0.04,2.29,9
1769507168.479838,1.05,-4.64,3.71,3.47,-0.05,2.39,9
1769507168.482497,4.63,-4.54,4.85,3.36,0.46,2.76,9
1769507168.4853592,4.38,-9.72,3.22,3.38,0.52,2.6,9
1769507168.488098,6.83,-8.81,4.65,3.41,1.0,2.78,9
1769507168.490839,2.12,-8.42,2.27,3.33,0.71,2.92,9
1769507168.4934871,1.47,-5.71,2.54,3.33,1.34,2.99,9
1769507168.4963388,2.03,-3.93,3.1,3.3,1.18,3.13,9
1769507168.499101,1.44,-3.38,2.69,3.26,1.26,3.2,9
1769507168.5019038,1.55,-4.05,2.72,3.2,1.24,3.26,9
1769507168.5046558,2.01,-4.96,2.54,3.15,1.18,3.31,9
1769507168.5074549,2.12,-5.57,2.26,3.04,1.63,3.57,9
1769507168.510088,2.12,-5.31,1.14,3.06,1.49,3.7,9
1769507168.512958,1.82,-4.36,-0.4,3.13,1.7,3.81,9
1769507168.515674,1.43,-3.71,0.09,3.15,1.69,3.86,9
1769507168.518497,0.67,-3.27,0.05,3.07,1.74,3.93,9
1769507168.521356,0.09,-2.6,0.71,2.98,1.59,3.99,9
1769507168.5266051,1.98,-0.97,-0.86,3.01,1.51,4.16,9
1769507168.529462,-1.66,-2.42,1.15,2.85,1.28,4.3,9
1769507168.532193,1.63,-0.47,-3.52,2.64,1.64,4.37,9
1769507168.535022,-4.25,-2.98,-3.8,2.15,2.27,4.37,9
1769507168.537757,-4.43,-2.21,-4.18,1.8,3.22,4.37,9
1769507168.540544,6.22,2.62,-5.71,1.78,2.27,4.37,9
1769507168.54326,-5.25,0.32,-4.64,1.3,3.48,4.37,9
1769507168.545996,-1.25,6.0,-14.46,1.73,4.27,4.37,9
1769507168.548793,-5.79,5.74,-19.61,3.23,4.37,4.37,9
1769507168.551611,-6.41,5.66,-17.23,4.25,4.37,4.37,9
1769507168.554346,-8.81,14.73,6.13,3.65,2.91,4.37,9
1769507168.557146,-8.48,8.95,-8.19,3.34,2.18,4.37,9
1769507168.560066,-7.39,9.57,-13.11,3.19,2.74,4.37,9
1769507168.565257,-9.19,7.93,-13.67,3.0,2.37,4.37,9
1769507168.5680268,-9.58,8.26,-13.13,2.91,2.26,4.37,9
1769507168.57091,-10.87,9.8,-13.45,2.82,2.32,4.37,9
1769507168.5736651,-12.14,11.36,-14.41,2.76,2.43,4.37,9
1769507168.576392,-13.65,12.13,-15.41,2.74,2.42,4.37,9
1769507168.579249,-15.22,11.85,-16.81,2.76,2.41,4.37,9
1769507168.5820649,-16.63,11.38,-18.04,2.81,2.31,4.37,9
