time,ax,ay,az,gx,gy,gz,label
1769503710.8642,-8.93,2.82,0.58,-0.09,0.1,0.05,3
1769503710.866951,-9.11,2.9,0.16,-0.05,0.09,0.04,3
1769503710.869658,-9.24,3.14,-0.11,-0.02,0.05,0.04,3
1769503710.872476,-9.41,3.34,-0.34,0.03,0.02,0.03,3
1769503710.875178,-9.5,3.41,-0.47,0.07,-0.01,0.0,3
1769503710.880639,-9.64,3.53,-0.65,0.1,-0.02,-0.0,3
1769503710.883344,-9.8,3.61,-0.89,0.14,-0.03,-0.0,3
1769503710.8861718,-9.84,3.68,-1.01,0.16,-0.03,-0.01,3
1769503710.889021,-9.99,3.92,-1.07,0.19,-0.03,-0.01,3
1769503710.891743,-10.31,4.04,-0.95,0.19,-0.01,0.0,3
1769503710.89447,-10.76,4.19,-1.47,0.2,-0.01,0.03,3
1769503710.897318,-11.26,4.38,-1.97,0.19,-0.05,0.05,3
1769503710.900084,-11.59,4.49,-2.17,0.16,-0.09,0.06,3
1769503710.905493,-11.88,4.63,-2.38,0.13,-0.12,0.06,3
1769503710.908278,-12.1,4.66,-2.64,0.1,-0.17,0.05,3
1769503710.9110432,-12.37,4.8,-2.62,0.07,-0.23,0.03,3
1769503710.913814,-12.63,5.0,-2.46,0.03,-0.28,0.01,3
1769503710.9165409,-12.85,5.17,-2.45,-0.02,-0.33,-0.02,3
1769503710.919298,-13.19,5.46,-2.27,-0.08,-0.39,-0.04,3
1769503710.9221172,-13.64,5.51,-2.14,-0.13,-0.44,-0.08,3
1769503710.9276202,-14.34,5.61,-1.93,-0.18,-0.49,-0.12,3
1769503710.930434,-15.02,5.71,-1.63,-0.22,-0.55,-0.17,3
1769503710.933101,-15.75,5.79,-1.37,-0.24,-0.62,-0.22,3
1769503710.9359932,-16.42,5.87,-1.07,-0.24,-0.68,-0.28,3
1769503710.9386508,-17.18,5.9,-0.46,-0.25,-0.74,-0.34,3
1769503710.944112,-17.85,6.04,-0.18,-0.25,-0.8,-0.4,3
1769503710.9469051,-18.31,6.22,0.03,-0.25,-0.86,-0.45,3
1769503710.949638,-18.85,6.45,0.88,-0.22,-0.9,-0.52,3
1769503710.9524522,-19.38,6.65,1.58,-0.15,-0.92,-0.6,3
1769503710.955234,-19.61,6.69,1.99,-0.08,-0.93,-0.66,3
1769503710.957988,-19.61,6.56,2.1,-0.01,-0.92,-0.73,3
1769503710.965198,-19.61,6.54,2.25,0.03,-0.9,-0.81,3
1769503710.9679492,-19.61,6.8,3.3,0.38,-0.76,-1.23,3
