time,ax,ay,az,gx,gy,gz,label
1769508449.861696,9.01,1.63,4.09,0.5,0.2,-0.06,2
1769508449.864267,9.09,1.68,4.2,0.55,0.18,-0.05,2
1769508449.867127,9.22,1.79,4.2,0.58,0.15,-0.03,2
1769508449.870123,9.34,1.92,4.2,0.6,0.14,-0.01,2
1769508449.8730052,9.5,1.97,4.13,0.64,0.13,0.0,2
1769508449.8759198,9.71,1.94,4.22,0.66,0.11,0.02,2
1769508449.8787389,9.96,1.91,4.28,0.69,0.1,0.03,2
1769508449.881505,10.18,1.92,4.37,0.7,0.09,0.05,2
1769508449.8843489,10.42,1.85,4.35,0.72,0.09,0.05,2
1769508449.8872561,10.64,1.85,4.36,0.73,0.08,0.07,2
1769508449.890046,10.94,1.81,4.27,0.74,0.07,0.08,2
1769508449.892898,11.26,1.68,4.32,0.75,0.06,0.1,2
1769508449.895676,11.51,1.6,4.32,0.77,0.05,0.12,2
1769508449.898425,11.97,1.44,4.36,0.78,0.04,0.13,2
1769508449.90123,12.46,1.35,4.49,0.82,0.03,0.16,2
1769508449.904056,13.0,1.3,4.57,0.84,0.02,0.19,2
1769508449.90681,13.5,1.31,4.65,0.87,0.01,0.23,2
1769508449.9122539,13.96,1.33,4.81,0.9,-0.0,0.27,2
1769508449.915046,14.48,1.32,4.98,0.94,-0.03,0.32,2
1769508449.91779,15.0,1.25,4.94,0.97,-0.05,0.37,2
1769508449.920682,15.33,1.2,4.97,1.0,-0.08,0.42,2
1769508449.923296,15.86,1.15,5.26,1.06,-0.16,0.53,2
1769508449.926261,16.16,2.36,4.7,1.15,-0.01,0.69,2
1769508449.928951,17.14,1.11,4.35,1.18,-0.1,0.68,2
1769508449.931613,17.74,0.78,4.61,1.16,-0.15,0.67,2
1769508449.9344902,18.56,0.68,4.41,1.14,-0.18,0.68,2
1769508449.937258,19.08,0.64,3.97,1.2,-0.22,0.71,2
1769508449.940022,19.49,0.47,3.54,1.34,-0.25,0.76,2
1769508449.94277,19.61,0.13,3.57,1.53,-0.29,0.84,2
1769508449.945547,19.61,0.01,3.23,1.78,-0.34,0.93,2
1769508449.948203,19.61,0.38,3.06,2.08,-0.33,1.03,2
1769508449.9511878,19.61,0.06,2.54,2.42,-0.36,1.1,2
1769508449.9565241,19.61,-0.83,2.58,2.74,-0.36,1.16,2
1769508449.95934,19.61,-2.83,2.15,3.22,-0.24,1.31,2
