time,ax,ay,az,gx,gy,gz,label
1769496670.132856,9.1,2.01,2.78,0.75,0.13,0.5,4
1769496670.135666,8.97,2.62,2.8,0.75,0.17,0.51,4
1769496670.138586,8.81,3.01,2.58,0.82,0.26,0.62,4
1769496670.141411,8.85,2.05,2.54,0.91,0.52,0.67,4
1769496670.144195,8.96,1.07,3.81,0.71,0.42,0.56,4
1769496670.1471229,9.38,1.13,3.84,0.37,0.01,0.43,4
1769496670.149892,9.07,2.07,3.53,0.13,-0.08,0.4,4
1769496670.1526232,8.66,2.54,3.18,0.07,-0.1,0.45,4
1769496670.155552,8.3,2.54,3.04,0.09,0.06,0.47,4
1769496670.1582878,8.48,1.63,3.34,0.04,0.09,0.46,4
1769496670.161052,8.52,1.12,3.34,-0.11,0.06,0.42,4
1769496670.163775,8.6,0.86,3.19,-0.27,0.04,0.4,4
1769496670.166654,8.64,0.83,3.07,-0.35,0.02,0.38,4
1769496670.169487,8.7,0.64,3.01,-0.39,0.05,0.39,4
1769496670.172422,8.88,0.36,2.9,-0.42,0.07,0.4,4
1769496670.175158,8.97,0.05,2.9,-0.45,0.08,0.41,4
1769496670.17778,8.99,-0.21,2.93,-0.49,0.09,0.43,4
1769496670.180695,8.96,-0.36,2.7,-0.52,0.11,0.43,4
1769496670.1834822,8.92,-0.61,2.72,-0.52,0.13,0.44,4
1769496670.18892,8.93,-0.81,2.82,-0.52,0.14,0.46,4
1769496670.19166,9.21,-0.87,2.07,-0.55,0.21,0.46,4
1769496670.194419,9.42,-0.9,2.09,-0.56,0.23,0.47,4
1769496670.1972811,9.28,-0.79,2.68,-0.48,0.22,0.53,4
1769496670.1999328,9.5,-0.55,3.52,-0.43,0.2,0.57,4
1769496670.2027462,9.45,-0.96,3.5,-0.49,0.23,0.57,4
1769496670.205562,9.59,-1.28,2.68,-0.63,0.24,0.48,4
1769496670.210943,9.54,-1.08,2.41,-0.75,0.24,0.41,4
1769496670.213738,9.41,-1.01,2.49,-0.85,0.26,0.36,4
1769496670.216483,9.57,-1.04,2.62,-0.95,0.28,0.33,4
1769496670.219291,9.82,-1.23,2.95,-1.06,0.3,0.29,4
1769496670.222066,10.04,-1.28,2.95,-1.18,0.32,0.24,4
1769496670.224805,10.34,-1.42,2.93,-1.33,0.33,0.19,4
