time,ax,ay,az,gx,gy,gz,label
1769509640.31123,5.91,1.26,11.24,1.04,0.3,-0.26,0
1769509640.3139598,6.04,1.32,11.26,1.01,0.28,-0.3,0
1769509640.316677,6.16,1.48,11.32,0.99,0.26,-0.33,0
1769509640.31951,6.25,1.6,11.31,0.97,0.25,-0.36,0
1769509640.322241,6.41,1.82,11.35,0.93,0.23,-0.39,0
1769509640.325036,6.53,1.99,11.44,0.88,0.21,-0.42,0
1769509640.327776,6.7,2.2,11.39,0.82,0.2,-0.43,0
1769509640.3330922,6.88,2.43,11.48,0.75,0.18,-0.45,0
1769509640.336038,7.02,2.57,11.49,0.69,0.16,-0.46,0
1769509640.3386922,7.13,2.67,11.6,0.63,0.13,-0.46,0
1769509640.341491,7.21,2.85,11.56,0.57,0.1,-0.48,0
1769509640.344226,7.35,3.07,11.59,0.51,0.06,-0.48,0
1769509640.3471448,7.42,3.25,11.57,0.45,0.03,-0.48,0
1769509640.349875,7.5,3.36,11.53,0.41,-0.02,-0.48,0
1769509640.352598,7.66,3.39,11.77,0.4,-0.07,-0.48,0
1769509640.35536,7.94,3.51,11.69,0.34,-0.11,-0.48,0
1769509640.3581,8.02,3.69,11.44,0.27,-0.14,-0.48,0
1769509640.363634,8.18,3.97,11.04,0.22,-0.16,-0.48,0
1769509640.366427,8.34,4.2,10.94,0.17,-0.19,-0.47,0
1769509640.369102,8.5,4.36,10.89,0.13,-0.21,-0.47,0
1769509640.371836,8.58,4.49,10.77,0.08,-0.24,-0.46,0
1769509640.3747048,8.66,4.63,10.58,0.03,-0.26,-0.44,0
1769509640.377389,8.77,4.72,10.32,-0.02,-0.29,-0.42,0
1769509640.382855,8.9,4.76,10.2,-0.05,-0.31,-0.41,0
1769509640.385705,8.97,4.85,10.03,-0.09,-0.32,-0.38,0
1769509640.388375,9.02,5.01,9.91,-0.12,-0.34,-0.36,0
1769509640.3911412,9.07,5.09,9.73,-0.14,-0.37,-0.34,0
1769509640.393984,9.11,5.22,9.58,-0.15,-0.38,-0.3,0
1769509640.396697,9.12,5.25,9.34,-0.16,-0.4,-0.28,0
1769509640.3994958,9.16,5.3,9.24,-0.18,-0.42,-0.25,0
1769509640.402246,9.17,5.3,8.99,-0.18,-0.44,-0.22,0
1769509640.405065,9.19,5.42,8.8,-0.19,-0.46,-0.19,0
1769509640.407821,9.17,5.51,8.64,-0.19,-0.48,-0.16,0
1769509640.410609,9.13,5.64,8.51,-0.2,-0.5,-0.13,0
1769509640.4160352,9.13,5.69,8.28,-0.2,-0.52,-0.1,0
1769509640.4187012,9.14,5.7,8.11,-0.2,-0.54,-0.07,0
1769509640.421619,9.09,5.81,7.89,-0.21,-0.56,-0.03,0
1769509640.424333,9.08,5.83,7.65,-0.21,-0.58,-0.0,0
1769509640.427113,9.05,5.89,7.45,-0.21,-0.6,0.03,0
1769509640.429881,9.03,5.88,7.23,-0.21,-0.62,0.06,0
1769509640.432682,9.01,5.95,7.07,-0.22,-0.64,0.09,0
1769509640.4352992,8.99,5.99,6.83,-0.22,-0.66,0.13,0
1769509640.438218,8.88,5.95,6.59,-0.23,-0.68,0.16,0
