time,ax,ay,az,gx,gy,gz,label
1769500094.0297658,7.99,2.49,1.55,-0.07,0.35,-0.12,5
1769500094.032521,8.04,2.31,1.58,-0.02,0.34,-0.14,5
1769500094.0351958,7.94,2.11,1.63,0.06,0.34,-0.17,5
1769500094.038047,8.05,1.71,2.5,0.17,0.32,-0.23,5
1769500094.0407522,7.84,0.74,4.53,0.37,0.25,-0.3,5
1769500094.043518,8.03,-1.34,5.64,0.63,0.12,-0.41,5
1769500094.046238,7.79,-2.41,5.58,0.87,0.0,-0.5,5
1769500094.049057,7.71,-2.78,5.46,1.05,-0.07,-0.55,5
1769500094.054496,7.24,-2.61,4.65,1.19,-0.17,-0.62,5
1769500094.0572531,7.15,-2.99,4.9,1.25,-0.3,-0.72,5
1769500094.060013,7.29,-3.22,4.25,1.26,-0.25,-0.73,5
1769500094.062897,7.57,-1.86,4.46,1.25,-0.28,-0.78,5
1769500094.065557,7.72,-0.91,3.6,1.2,-0.3,-0.82,5
1769500094.0683389,7.68,-0.02,3.34,1.12,-0.28,-0.84,5
1769500094.071106,9.34,0.65,2.23,1.06,-0.32,-0.85,5
1769500094.073877,7.53,1.19,2.63,1.07,-0.37,-0.9,5
1769500094.076694,8.47,2.35,2.47,0.96,-0.05,-0.92,5
1769500094.0793998,8.75,2.83,2.66,0.84,0.13,-0.93,5
1769500094.082239,9.05,3.17,2.74,0.75,0.16,-0.93,5
1769500094.084926,9.01,3.6,2.72,0.7,0.21,-0.9,5
1769500094.08772,9.07,4.11,2.75,0.61,0.27,-0.85,5
1769500094.090434,9.06,4.67,3.2,0.5,0.33,-0.78,5
1769500094.093228,8.98,5.01,3.42,0.32,0.39,-0.66,5
1769500094.096011,8.65,5.08,3.69,0.09,0.45,-0.54,5
1769500094.101413,8.53,5.09,3.92,-0.17,0.53,-0.41,5
1769500094.104165,8.38,4.99,4.49,-0.43,0.57,-0.29,5
1769500094.1068969,8.14,4.75,4.4,-0.63,0.62,-0.18,5
1769500094.1097028,7.89,4.68,4.68,-0.83,0.65,-0.05,5
1769500094.1123898,7.75,4.48,4.83,-1.04,0.7,0.06,5
1769500094.115295,7.65,4.19,4.92,-1.25,0.75,0.17,5
1769500094.117991,7.57,3.92,5.19,-1.49,0.79,0.27,5
1769500094.120744,7.77,3.59,5.65,-1.72,0.76,0.38,5
1769500094.1235,7.7,3.3,5.74,-1.93,0.75,0.43,5
1769500094.126297,7.67,2.86,5.7,-2.1,0.81,0.48,5
1769500094.129052,7.87,2.29,6.01,-2.23,0.81,0.52,5
1769500094.131795,7.99,1.59,6.22,-2.32,0.82,0.55,5
1769500094.134567,8.15,0.8,6.34,-2.37,0.83,0.58,5
1769500094.137347,8.28,0.02,6.37,-2.37,0.82,0.6,5
1769500094.140047,8.46,-0.81,6.23,-2.33,0.83,0.62,5
1769500094.14283,8.47,-1.51,6.39,-2.24,0.8,0.66,5
1769500094.145729,8.32,-2.34,6.42,-2.15,0.78,0.72,5
1769500094.148476,8.16,-2.92,6.65,-2.03,0.75,0.77,5
1769500094.151205,8.27,-1.69,6.77,-1.92,0.71,0.82,5
1769500094.153888,8.26,-1.87,6.85,-1.84,0.75,0.92,5
1769500094.156694,7.3,-0.08,7.53,-1.78,0.71,0.99,5
1769500094.159462,6.91,0.2,6.09,-1.65,0.79,1.13,5
1769500094.1649542,7.15,-4.21,7.38,-1.39,0.42,1.06,5
1769500094.1676722,7.6,-5.3,7.22,-1.11,-0.02,0.94,5
1769500094.170408,8.33,-6.16,7.02,-0.87,-0.21,0.84,5
1769500094.1731682,9.21,-5.87,6.9,-0.83,-0.2,0.82,5
1769500094.176105,9.74,-5.37,6.35,-0.76,-0.17,0.84,5
1769500094.181508,10.12,-4.78,6.45,-0.74,-0.17,0.83,5
1769500094.1842408,10.18,-4.42,6.61,-0.64,-0.09,0.88,5
1769500094.186936,10.44,-3.94,5.5,-0.62,0.12,0.98,5
1769500094.18981,11.01,-3.79,5.49,-0.65,0.47,1.04,5
1769500094.1992,11.26,-3.85,5.94,-0.77,0.89,1.11,5
1769500094.199404,11.72,-4.41,6.8,-0.95,1.21,1.12,5
1769500094.199572,13.16,-4.41,8.59,-1.18,1.15,1.13,5
1769500094.212845,9.64,-4.73,7.97,-1.43,1.21,1.03,5
1769500094.212952,14.62,-3.84,9.29,-1.72,1.27,1.2,5
1769500094.213038,14.62,-2.23,6.05,-1.69,1.7,1.4,5
1769500094.213121,12.26,0.12,-5.17,-1.03,2.55,1.54,5
1769500094.214567,11.76,-1.81,4.05,-1.07,2.65,1.65,5
1769500094.21725,11.81,-2.02,3.97,-1.07,2.93,1.73,5
1769500094.221718,11.72,-2.28,3.54,-1.15,3.03,1.8,5
1769500094.222872,11.71,-2.48,3.85,-1.31,3.2,1.83,5
1769500094.225667,11.67,-2.55,4.46,-1.45,3.37,1.85,5
1769500094.2284532,11.6,-2.06,4.48,-1.56,3.47,1.87,5
1769500094.231294,11.49,-1.5,4.99,-1.61,3.57,1.95,5
1769500094.23398,11.15,-0.93,5.57,-1.63,3.58,2.04,5
1769500094.236616,10.82,-0.42,5.69,-1.71,3.57,2.17,5
1769500094.239421,10.56,-0.1,6.25,-1.81,3.52,2.27,5
1769500094.2449222,10.51,0.3,6.38,-1.96,3.46,2.35,5
1769500094.247711,10.73,0.66,6.59,-2.12,3.36,2.39,5
1769500094.250431,10.98,0.61,6.76,-2.22,3.18,2.38,5
1769500094.253131,11.44,0.28,6.87,-2.24,2.68,2.28,5
1769500094.25601,12.87,0.35,9.29,-2.37,2.07,2.11,5
1769500094.258752,13.95,0.92,7.9,-2.47,1.78,2.0,5
1769500094.261518,14.15,0.84,7.06,-2.52,1.79,1.88,5
