time,ax,ay,az,gx,gy,gz,label
1769502026.260503,5.43,5.11,4.58,-0.39,-0.53,-0.18,6
1769502026.263239,5.42,4.95,4.62,-0.42,-0.58,-0.26,6
1769502026.2659998,5.4,5.08,4.38,-0.41,-0.55,-0.31,6
1769502026.268787,5.54,5.09,4.48,-0.39,-0.55,-0.31,6
1769502026.2740989,5.46,4.89,4.59,-0.37,-0.55,-0.31,6
1769502026.27701,5.41,4.73,4.58,-0.38,-0.57,-0.32,6
1769502026.27967,5.3,4.68,4.58,-0.38,-0.6,-0.34,6
1769502026.2824872,5.32,4.64,4.56,-0.39,-0.64,-0.37,6
1769502026.285248,5.36,4.57,4.53,-0.39,-0.68,-0.4,6
1769502026.288048,5.4,4.54,4.46,-0.39,-0.72,-0.42,6
1769502026.290678,5.36,4.55,4.45,-0.38,-0.76,-0.44,6
1769502026.293498,5.34,4.55,4.43,-0.36,-0.8,-0.45,6
1769502026.296358,5.27,4.58,4.37,-0.35,-0.83,-0.46,6
1769502026.299089,5.25,4.56,4.32,-0.32,-0.86,-0.47,6
1769502026.301909,5.19,4.53,4.28,-0.3,-0.89,-0.47,6
1769502026.307195,5.16,4.44,4.22,-0.28,-0.92,-0.47,6
1769502026.310139,5.13,4.37,4.21,-0.25,-0.94,-0.48,6
1769502026.3128068,5.08,4.3,4.16,-0.22,-0.95,-0.49,6
1769502026.315624,5.07,4.2,4.0,-0.19,-0.95,-0.5,6
1769502026.318426,5.09,4.02,3.91,-0.17,-0.96,-0.49,6
1769502026.321187,4.97,3.96,3.88,-0.12,-0.94,-0.49,6
1769502026.3238,4.9,3.74,3.87,-0.07,-0.92,-0.49,6
1769502026.326704,4.79,3.43,4.06,-0.03,-0.92,-0.48,6
1769502026.3294668,4.51,3.1,4.43,0.04,-0.89,-0.47,6
1769502026.332235,4.43,2.62,4.41,0.07,-0.86,-0.49,6
1769502026.3350809,4.26,2.39,4.61,0.08,-0.87,-0.52,6
1769502026.33773,3.88,2.0,4.81,0.1,-0.85,-0.55,6
1769502026.343156,3.52,1.67,4.82,0.12,-0.84,-0.56,6
1769502026.3458922,3.1,1.3,4.88,0.15,-0.83,-0.6,6
1769502026.348682,2.65,0.9,4.98,0.17,-0.82,-0.62,6
1769502026.35156,2.16,0.46,5.15,0.19,-0.81,-0.66,6
1769502026.3542268,2.0,0.23,5.24,0.2,-0.82,-0.71,6
1769502026.3568902,1.69,0.02,5.28,0.21,-0.81,-0.75,6
1769502026.359689,1.48,-0.15,5.45,0.23,-0.79,-0.79,6
1769502026.362493,1.3,-0.43,5.65,0.22,-0.8,-0.81,6
1769502026.368,1.31,-0.78,5.83,0.17,-0.82,-0.87,6
1769502026.370825,1.1,-0.78,5.54,0.18,-0.71,-0.97,6
1769502026.3735008,1.93,-1.04,5.54,0.22,-0.63,-1.16,6
1769502026.376382,2.33,-2.16,5.3,0.16,-0.74,-1.35,6
1769502026.379071,1.88,-1.8,5.33,0.22,-0.55,-1.66,6
1769502026.381855,1.99,-2.54,4.39,0.2,-0.47,-1.87,6
1769502026.384675,-0.08,-3.28,5.35,0.31,-0.43,-1.87,6
1769502026.387435,-2.55,-3.34,4.68,0.43,-0.15,-1.64,6
1769502026.392863,-3.91,-3.49,4.24,0.59,-0.01,-1.33,6
